npsn,name,address,village,kecamatan,lat,lng,jenjang,student_count,st_male,st_female
70004660,TK AZQIARA IZZATUNNISA BANJARWANGI,Kp. Sangata RT 04 RW 01,Wangunjaya,Banjarwangi,,,PAUD,18,9,9
69969761,TK INSAN KAMIL,KP. PASIR JEUNGJING,Wangunjaya,Banjarwangi,,,PAUD,21,12,9
20260133,TK ISLAM SAWARGI,KP.CIGUGUR,Tanjungjaya,Banjarwangi,,,PAUD,49,28,21
20260184,TK NURUL IMAN,KP. JAMBANSARI DS.PADAHURIP,Padahurip,Banjarwangi,,,PAUD,21,9,12
20260312,TK TARBIYYATUL ATHFAL,Kp. Parungjawa,Kadongdong,Banjarwangi,,,PAUD,41,24,17
69756583,TKS MUTIARA HATI,KP. BATUGEDE,Wangunjaya,Banjarwangi,,,PAUD,40,22,18
69827150,KB AISYIYAH AL-ISTIQOMAH,KP.RANJAKUJANG,Cipicung,Banyuresmi,,,PAUD,16,9,7
69867438,KB AISYIYAH MENTARI,Kp. Pungkur RT.04 RW.01,Pamekarsari,Banyuresmi,,,PAUD,22,11,11
70047424,KB Al - Buniyyah,Kp. Cibuntu Rt. 01 Rw. 08,Sukamukti,Banyuresmi,,,PAUD,33,17,16
69867629,KB AL BAROKAH,KP. PAMEUTINGAN,Sukalaksana,Banyuresmi,,,PAUD,50,31,19
69956734,KB AL YASIN,Kp. Sumur Bandung Rt.01?Rw.03,Karyasari,Banyuresmi,,,PAUD,42,25,17
69827108,KB AL-AMANAH,Kp. Warung Peuteuy Rt.002 Rw.009,Sukaraja,Banyuresmi,,,PAUD,24,16,8
69948061,KB AL-BAHRUDIN,Kp. Nyalindung RT 01 RW 06,Sukamukti,Banyuresmi,,,PAUD,13,7,6
69984955,KB AL-BARRU,Kp. Lio Rt.003 Rw.006,Sukalaksana,Banyuresmi,,,PAUD,26,15,11
69827188,KB AL-BAYYINAH,KP. CIHAUR,Sukaratu,Banyuresmi,,,PAUD,26,16,10
69966805,KB AL-FALAH,KP. RANJENG RT. 04 RW. 02,Karyamukti,Banyuresmi,,,PAUD,12,6,6
69827342,KB AL-FURQON,Kp. Pasir Salam Rt 02 / Rw 03,Banyuresmi,Banyuresmi,,,PAUD,34,12,22
69910938,KB AL-IKHWAN BANI SADELI,Kp. Sarianten RT 01/08,Sukalaksana,Banyuresmi,,,PAUD,27,12,15
69827283,KB AL-ISTIQOMAH,SALAGEDANG,Sukaraja,Banyuresmi,,,PAUD,24,12,12
69867449,KB AL-KHOERIYAH,KP. CURUG PASANTREN,Karyasari,Banyuresmi,,,PAUD,48,24,24
